Classes,Accuracy,Precision,Recall,F1-Score
above,0.9184766438559953,0.6504934210526315,0.45564516129032256,0.5357263799525905
at,0.9682237429336507,0,0.0,0.0
behind,0.9102648021422196,0.5,0.011273209549071617,0.0220349967595593
below,0.9641178220767629,1.0,0.0016556291390728477,0.0033003300330033004
beside,0.9714965783992859,0,0.0,0.0
by,0.9842903897649509,0,0.0,0.0
front,0.9369235346623029,0,0.0,0.0
in,0.8808687890508777,0.7907819782496116,0.48864,0.6039153648408148
left,0.9831002677774472,0.0,0.0,0.0
near,0.9488842606367153,0,0.0,0.0
next,0.9110978875334722,0.5070422535211268,0.024080267558528427,0.04594767070835992
on,0.8295745313894675,0.6380063542494043,0.7552891396332864,0.6916370681304488
over,0.9764950907468015,0,0.0,0.0
right,0.9853019934543291,0.14285714285714285,0.004132231404958678,0.008
top,0.9883963106218387,0,0.0,0.0
under,0.9382921749479322,0.450261780104712,0.08447937131630648,0.14214876033057852
MACRO AVG,0.943487801249628,0.2924651831271643,0.1140746881182217,0.1282944106722097
Micro AVG,0.943487801249628,0.6681587937330663,0.31423822714681443,0.427430293896006
EXAMPLES,0.16560448279282003,0.33739958345730436,0.32839432708519284,0.3328360545623029
