Classes,Accuracy,Precision,Recall,F1-Score
above,0.9189783189783189,0.6430769230769231,0.4815668202764977,0.5505432993085282
at,0.9683397683397683,0,0.0,0.0
behind,0.9108405108405109,0.5686274509803921,0.019230769230769232,0.03717948717948718
below,0.9638253638253639,0.0,0.0,0.0
beside,0.9715473715473716,0,0.0,0.0
by,0.9843183843183844,0,0.0,0.0
front,0.9370953370953371,0,0.0,0.0
in,0.8712206712206713,0.8474945533769063,0.37344,0.5183211192538307
left,0.9831303831303831,0.0,0.0,0.0
near,0.948975348975349,0,0.0,0.0
next,0.9104841104841105,0.4713656387665198,0.07161981258366801,0.12427409988385599
on,0.8172260172260172,0.6650771388499299,0.5573577809120828,0.6063938618925832
over,0.9765369765369766,0,0.0,0.0
right,0.9854469854469855,0.0,0.0,0.0
top,0.9884169884169884,0,0.0,0.0
under,0.9397089397089398,0.5555555555555556,0.024509803921568627,0.04690431519699812
MACRO AVG,0.9422557172557173,0.23444982878788917,0.09548281168278663,0.11772601141970522
Micro AVG,0.9422557172557172,0.6900486914181375,0.25121870152891645,0.3683248730964467
EXAMPLES,0.13256905256905238,0.26934956934956933,0.26316206316206325,0.26621986846568085
