Classes,Accuracy,Precision,Recall,F1-Score
above,0.9174933174933175,0.6542222222222223,0.423963133640553,0.5143256464011181
at,0.9682803682803682,0.0,0.0,0.0
behind,0.9104841104841105,0.5333333333333333,0.005305039787798408,0.010498687664041995
below,0.9635877635877635,0.3333333333333333,0.014900662251655629,0.028481012658227847
beside,0.9715473715473716,0,0.0,0.0
by,0.9843183843183844,0,0.0,0.0
front,0.9369765369765369,0.0,0.0,0.0
in,0.878051678051678,0.8568575233022636,0.41184,0.5561797752808989
left,0.9831897831897832,0,0.0,0.0
near,0.948975348975349,0,0.0,0.0
next,0.9111969111969112,0.45454545454545453,0.0033467202141900937,0.006640106241699867
on,0.8273834273834274,0.6520758122743683,0.6793606017865539,0.6653620352250489
over,0.9765369765369766,0,0.0,0.0
right,0.9854469854469855,0.0,0.0,0.0
top,0.9884169884169884,0,0.0,0.0
under,0.9398871398871399,0.5686274509803921,0.02845927379784102,0.05415499533146592
MACRO AVG,0.9432358182358183,0.25331219562446045,0.09794846446741201,0.11472764117515635
Micro AVG,0.9432358182358183,0.6927156014512978,0.2749833813427875,0.39367143820135614
EXAMPLES,0.14523809523809522,0.29465399465399467,0.2886813186813187,0.29163708003577865
