Classes,Accuracy,Precision,Recall,F1-Score
above,0.916770851937846,0.6397361912613355,0.44674726540011517,0.5259234157912572
at,0.9682086086801215,0,0.0,0.0
behind,0.9106983389891052,0.6296296296296297,0.0112806901128069,0.02214983713355049
below,0.964279335595642,0.5625,0.029801324503311258,0.0565149136577708
beside,0.9714830029171876,0,0.0,0.0
by,0.9842829076620825,0,0.0,0.0
front,0.9369530273263083,0,0.0,0.0
in,0.8776567244150741,0.76123046875,0.49888,0.6026285272516428
left,0.9831517532892778,0,0.0,0.0
near,0.9489194499017681,0,0.0,0.0
next,0.9109960111924749,0.4948453608247423,0.0321285140562249,0.06030150753768844
on,0.8304459129606477,0.6393735130848532,0.7581100141043724,0.6936229702118507
over,0.9764838959337977,0,0.0,0.0
right,0.9855331309162351,0,0.0,0.0
top,0.9882717151872358,0,0.0,0.0
under,0.9364767518009168,0.375,0.07374631268436578,0.12315270935960591
MACRO AVG,0.9431632136691077,0.25639469772191004,0.11566838255382478,0.1302683675589604
Micro AVG,0.9431632136691076,0.6602009005888465,0.31678670360110806,0.4281221922731357
EXAMPLES,0.16672421662598497,0.3392867774007263,0.3313260304419438,0.33525915348755225
