Classes,Accuracy,Precision,Recall,F1-Score
above,0.9148797148797149,0.6008010680907877,0.5187319884726225,0.5565862708719852
at,0.9683397683397683,0,0.0,0.0
behind,0.9104841104841105,0.5,0.019243530192435302,0.037037037037037035
below,0.9616275616275616,0.38461538461538464,0.11589403973509933,0.17789072426937738
beside,0.9715473715473716,0,0.0,0.0
by,0.9843183843183844,0,0.0,0.0
front,0.936917136917137,0.0,0.0,0.0
in,0.877992277992278,0.7551214864221057,0.5072,0.6066985645933014
left,0.981051381051381,0.3010752688172043,0.09929078014184398,0.14893617021276595
near,0.949034749034749,0,0.0,0.0
next,0.9113751113751114,0.5138888888888888,0.024765729585006693,0.047223994894703254
on,0.8322542322542322,0.6491960743370223,0.7310134023042558,0.6876036713480039
over,0.9765369765369766,0,0.0,0.0
right,0.9853281853281853,0.25,0.00823045267489712,0.015873015873015872
top,0.9883575883575884,0,0.0,0.0
under,0.9348975348975349,0.4085510688836104,0.16879293424926398,0.2387231089521166
MACRO AVG,0.9428088803088803,0.27270307750343775,0.13707267858471406,0.15728578487826916
Micro AVG,0.9428088803088803,0.643244415528085,0.32869729040837814,0.4350568390172351
EXAMPLES,0.17246708246708278,0.35046035046035046,0.3432283932283931,0.34680667395329257
