Classes,Accuracy,Precision,Recall,F1-Score
above,0.9143943444424643,0.669735327963176,0.3352534562211982,0.4466615502686109
at,0.9683360066535971,0,0.0,0.0
behind,0.9101764391374086,0.42857142857142855,0.009953550099535502,0.019442644199611146
below,0.9634646230618428,0.44761904761904764,0.07781456953642384,0.1323943661971831
beside,0.9715439909701182,0,0.0,0.0
by,0.9843165211192301,0,0.0,0.0
front,0.9370284560090298,0,0.0,0.0
in,0.8764331966969643,0.7795612627073302,0.46624,0.5833833833833834
left,0.9831283787797778,0.0,0.0,0.0
near,0.9489098794035525,0.0,0.0,0.0
next,0.9106516960731895,0.4609375,0.039491298527443104,0.07270486752926679
on,0.8264718113229965,0.654032817194361,0.6652562294311236,0.6595199254253088
over,0.9764747816788452,0.0,0.0,0.0
right,0.9845541495871205,0.2894736842105263,0.045081967213114756,0.07773851590106007
top,0.988475019307313,0,0.0,0.0
under,0.9378601556466465,0.4336734693877551,0.08333333333333333,0.13968775677896467
MACRO AVG,0.9426387156181311,0.26022528360335156,0.10765152527263577,0.1332208131052118
Micro AVG,0.9426387156181311,0.6717738739928675,0.2817728531855956,0.3970025759113262
EXAMPLES,0.14814946830630307,0.3005851601021802,0.2949999009881383,0.29776634191031176
